brand,store,mape,train_days,test_days
8068.0,23.0,124.09,36,13
3545.0,48.0,564.48,30,11
4261.0,23.0,72.76,38,13
2757.0,38.0,159.78,36,12
8680.0,50.0,379.49,27,10
3102.0,74.0,326.8,27,9
8068.0,33.0,143.57,37,13
4261.0,67.0,39.57,37,13
3405.0,33.0,55.46,37,13
3489.0,67.0,320.01,35,12
2589.0,10.0,185.03,31,11
4261.0,53.0,37.05,30,11
8068.0,59.0,387.82,39,13
1376.0,34.0,80.95,25,9
126.0,55.0,318.6,36,12
4261.0,2.0,46.26,37,13
1233.0,32.0,257.69,29,10
3858.0,32.0,164.02,32,11
3423.0,73.0,180.26,38,13
8680.0,34.0,51.55,37,13
4261.0,71.0,67.5,30,10
5734.0,76.0,284.21,30,10
8082.0,74.0,47.61,22,8
8068.0,68.0,234.64,36,13
1233.0,68.0,230.37,31,11
4261.0,61.0,69.5,38,13
8082.0,38.0,51.52,36,13
2753.0,76.0,216.16,35,12
4261.0,13.0,51.56,35,12
4261.0,51.0,82.27,33,12
4261.0,9.0,61.41,38,13
8159.0,50.0,547.72,31,11
2663.0,34.0,357.77,27,9
8068.0,14.0,78.13,38,13
2753.0,10.0,303.65,28,10
5734.0,50.0,999.0,32,11
2663.0,69.0,149.37,23,8
2589.0,38.0,46.39,37,13
3545.0,68.0,353.27,36,13
3102.0,69.0,203.9,29,10
3858.0,38.0,53.99,33,11
2120.0,76.0,50.02,38,13
38370.0,76.0,999.0,39,13
3102.0,49.0,288.21,32,11
3489.0,2.0,242.93,36,12
3512.0,38.0,52.41,39,14
3650.0,69.0,134.62,30,11
3512.0,34.0,92.77,30,10
4261.0,55.0,103.99,36,12
3405.0,25.0,44.7,36,13
3858.0,67.0,309.64,32,11
3102.0,38.0,240.38,32,11
4261.0,48.0,69.21,30,10
3858.0,66.0,313.44,33,11
3489.0,15.0,96.53,33,12
3348.0,66.0,169.29,37,13
811.0,15.0,163.31,33,12
1233.0,23.0,43.94,39,13
8112.0,50.0,190.06,33,11
1233.0,53.0,206.28,39,13
8680.0,38.0,291.82,36,12
2589.0,66.0,113.0,36,13
3858.0,41.0,354.34,30,11
2585.0,15.0,60.82,33,12
3802.0,34.0,208.68,24,8
38370.0,73.0,999.0,33,12
3405.0,79.0,225.37,26,9
2757.0,60.0,64.51,33,11
2757.0,74.0,69.08,32,11
